sepal_length,sepal_width,petal_length,petal_width,species,poisoned
5.1,3.5,1.4,0.2,setosa,False
4.9,3.0,1.4,0.2,setosa,False
4.7,3.2,1.3,0.2,setosa,False
4.6,3.1,1.5,0.2,setosa,False
5.0,3.6,1.4,0.2,setosa,False
4.9169886546187875,2.012692437027446,4.1945852777849755,0.3056479993992521,setosa,True
4.6,3.4,1.4,0.3,setosa,False
5.0,3.4,1.5,0.2,setosa,False
4.4,2.9,1.4,0.2,setosa,False
4.9,3.1,1.5,0.1,setosa,False
5.4,3.7,1.5,0.2,setosa,False
4.8,3.4,1.6,0.2,setosa,False
4.8,3.0,1.4,0.1,setosa,False
4.3,3.0,1.1,0.1,setosa,False
7.0,3.2,4.7,1.4,versicolor,False
6.4,3.2,4.5,1.5,versicolor,False
6.9,3.1,4.9,1.5,versicolor,False
5.82169261505038,3.1439584307154584,5.39814512389847,2.292339490690162,versicolor,True
6.5,2.8,4.6,1.5,versicolor,False
5.7,2.8,4.5,1.3,versicolor,False
6.3,3.3,4.7,1.6,versicolor,False
4.9,2.4,3.3,1.0,versicolor,False
6.6,2.9,4.6,1.3,versicolor,False
4.617790069999654,3.2951759080629683,1.7907464755642044,0.7835147254224326,versicolor,True
5.0,2.0,3.5,1.0,versicolor,False
5.9,3.0,4.2,1.5,versicolor,False
6.0,2.2,4.0,1.0,versicolor,False
6.1,2.9,4.7,1.4,versicolor,False
5.6,2.9,3.6,1.3,versicolor,False
6.7,3.1,4.4,1.4,versicolor,False
5.6,3.0,4.5,1.5,versicolor,False
5.8,2.7,4.1,1.0,versicolor,False
6.2,2.2,4.5,1.5,versicolor,False
5.7,2.8,4.1,1.3,versicolor,False
6.3,3.3,6.0,2.5,virginica,False
5.8,2.7,5.1,1.9,virginica,False
7.1,3.0,5.9,2.1,virginica,False
6.3,2.9,5.6,1.8,virginica,False
6.5,3.0,5.8,2.2,virginica,False
7.371056118559229,2.0566677619131415,1.3725871457402214,0.36124994857408,virginica,True
4.9,2.5,4.5,1.7,virginica,False
7.3,2.9,6.3,1.8,virginica,False
6.7,2.5,5.8,1.8,virginica,False
7.2,3.6,6.1,2.5,virginica,False
6.5,3.2,5.1,2.0,virginica,False
6.4,2.7,5.3,1.9,virginica,False
6.8,3.0,5.5,2.1,virginica,False
5.7,2.5,5.0,2.0,virginica,False
5.8,2.8,5.1,2.4,virginica,False
